algorithm,RC,makespan,load_balance_ratio,communication_cost,waiting_time,energy_cost
HEFT,2,56.650155096712396,0.132806564237237,24.25862068965517,27.77936169647047,918377.256447929
PEFT,2,64.77082150323098,0.15572781405712902,310.94827586206907,30.62115476170608,900694.8018045126
HEFT,4,21.915522087075377,0.2971205094392907,290.8648494018058,8.092320244160353,325163.4913292576
PEFT,4,20.028835011188047,0.28397193732984205,189.53810174863608,8.248305592699106,299341.8169019366
HEFT,8,62.24966749989887,0.9370185348190773,637.5933275794534,21.163063519941808,580342.6851160425
PEFT,8,66.88313767310245,1.0346085495657904,786.5158820542079,24.983625841369417,582606.2033836156
